Name	C_inv [M€/y]	C_maint [M€/y]	C_op [M€/y]
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000000	0.000000	0.000000
COAL_US	12828.830368	4099.540972	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	6922.701319	1783.053881	0.000000
PT_POWER_BLOCK	0.000000	0.000000	0.000000
ST_POWER_BLOCK	189.933873	393.535600	0.000000
STIRLING_DISH	0.000000	0.000000	0.000000
WIND_ONSHORE	77098.425988	5145.265157	0.000000
WIND_OFFSHORE	1933.235000	91.276740	0.000000
HYDRO_DAM	9507.710212	1413.143076	0.000000
HYDRO_RIVER	6175.387653	1847.258243	0.000000
NEW_TIDAL_STREAM	0.000000	0.000000	0.000000
TIDAL_STREAM	0.000000	0.000000	0.000000
TIDAL_RANGE	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
GEOTHERMAL	320.008381	123.634368	0.000000
IND_COGEN_GAS	0.000000	0.000000	0.000000
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	0.000000	0.000000	0.000000
IND_BOILER_WOOD	279.108773	83.217114	0.000000
IND_BOILER_OIL	0.000000	0.000000	0.000000
IND_BOILER_COAL	587.126992	175.053666	0.000000
IND_BOILER_WASTE	274.355523	81.799919	0.000000
IND_DIRECT_ELEC	234.336391	14.184318	0.000000
DHN_HP_ELEC	4325.681602	3118.436344	0.000000
DHN_COGEN_GAS	0.000000	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	156.301801	142.741411	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	21684.924633	14539.945994	0.000000
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	0.000000	0.000000	0.000000
DEC_BOILER_WOOD	0.000000	0.000000	0.000000
DEC_BOILER_OIL	0.000000	0.000000	0.000000
DEC_SOLAR	0.000000	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
BIG_SPLIT	5076.295343	2724.841422	0.000000
CHILLER_WC	282.845259	194.242723	0.000000
TRAMWAY_TROLLEY	9018.851704	4331.905630	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	42731.956300	28509.122490	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000000	0.000000	0.000000
CAR_BEV	0.000000	0.000000	0.000000
CAR_FUEL_CELL	363066.581009	20699.422304	0.000000
TRAIN_FREIGHT	855.975456	512.144585	0.000000
BOAT_FREIGHT_DIESEL	1956.202749	2926.072931	0.000000
BOAT_FREIGHT_NG	224.706953	336.114921	0.000000
TRUCK_DIESEL	2546.608466	1698.999508	0.000000
TRUCK_FUEL_CELL	45446.938787	18192.272815	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
NON_ENERGY_OIL	0.000000	0.000000	0.000000
NON_ENERGY_NG	0.000013	0.000000	0.000000
DAM_STORAGE	0.000000	0.000000	0.000000
PHS	4026.995889	0.000000	0.000000
BATT_LI	0.000000	0.000000	0.000000
CAES	0.000000	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_HP_ELEC	627.284213	90.979595	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000	0.000000
TS_DHN_SEASONAL	1319.077607	151.837640	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000	0.000000
TS_HIGH_TEMP	0.000000	0.000000	0.000000
SEASONAL_NG	0.000000	0.000000	0.000000
SEASONAL_H2	355.854485	29.610034	0.000000
CO2_STORAGE	0.000000	0.000000	0.000000
SLF_STO	2.947282	3.163547	0.000000
PT_STORAGE	0.000000	0.000000	0.000000
ST_STORAGE	1538.828894	318.689118	0.000000
TS_COLD	3009.919743	620.114698	0.000000
EFFICIENCY	44897.990448	0.000000	0.000000
DHN	5504.508555	0.000000	0.000000
GRID	66860.538748	0.000000	0.000000
PT_COLLECTOR	0.000000	0.000000	0.000000
ST_COLLECTOR	3908.531135	4049.162274	0.000000
