RESOURCES	R_t_local	R_t_exterior	R_t_import	R_t_export
ELECTRICITY	0.000000	0.000000	0.000000	443129.963585
GASOLINE	0.000000	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	0.000000	0.000000
NG	0.000000	130481.556520	0.000000	0.000000
SLF	0.000000	0.000000	0.000000	0.000000
SNG	0.000000	0.000000	0.000000	0.000000
WOOD	117079.210000	0.000000	0.000000	0.000000
WET_BIOMASS	169867.780000	0.000000	0.000000	0.000000
COAL	0.000000	27611.753625	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000	0.000000
WASTE	55591.400000	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	77513.883268	0.000000	0.000000
RES_WIND	0.000000	860047.852080	0.000000	0.000000
RES_SOLAR	0.000000	656819.574411	0.000000	0.000000
RES_HYDRO	0.000000	37465.738083	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	-0.000000	-0.000000
PT_HEAT	0.000000	0.000000	0.000000	0.000000
ST_HEAT	0.000000	0.000000	0.000000	0.000000
