RESOURCES	R_t_local	R_t_exterior	R_t_import	R_t_export
ELECTRICITY	0.000000	0.000000	533947.504949	108995.436168
GASOLINE	0.000000	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	0.000000	0.000000
NG	0.000000	828478.934063	0.000000	0.000000
SLF	0.000000	0.000000	0.000000	0.000000
SNG	0.000000	0.000000	0.000000	0.000000
WOOD	35558.744200	0.000000	0.000000	0.000000
WET_BIOMASS	99149.244660	0.000000	0.000000	0.000000
COAL	0.000000	1845838.870363	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000	0.000000
WASTE	32358.158460	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	703868.896355	0.000000	0.000000
RES_WIND	0.000000	429522.855741	0.000000	0.000000
RES_SOLAR	0.000000	244043.485529	0.000000	0.000000
RES_HYDRO	0.000000	13841.946671	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	-0.000000	-0.000000
PT_HEAT	0.000000	0.000000	0.000000	0.000000
ST_HEAT	0.000000	0.000000	0.000000	0.000000
