RESOURCES	R_t_local	R_t_exterior	R_t_import	R_t_export
ELECTRICITY	0.000000	0.000000	166590.645943	33966.459150
GASOLINE	0.000000	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	0.000000	0.000000
NG	0.000000	243853.881950	0.000000	0.000000
SLF	0.000000	0.000000	0.000000	0.000000
SNG	0.000000	0.000000	0.000000	0.000000
WOOD	20294.138610	0.000000	0.000000	0.000000
WET_BIOMASS	159873.410000	0.000000	0.000000	0.000000
COAL	0.000000	577692.998749	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000	0.000000
WASTE	73362.500000	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	249670.861726	0.000000	0.000000
RES_WIND	0.000000	371101.298518	0.000000	0.000000
RES_SOLAR	0.000000	423265.285974	0.000000	0.000000
RES_HYDRO	0.000000	90540.271861	0.000000	0.000000
RES_GEO	0.000000	20815.610790	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000	0.000000
PT_HEAT	0.000000	0.000000	0.000000	0.000000
ST_HEAT	0.000000	0.000000	0.000000	0.000000
